Naziv,Mouser No,Koli?ina,MouserURL
PIC24FJ64GA702-I/SO,579-24FJ64GA702ISO,1,https://eu.mouser.com/ProductDetail/579-24FJ64GA702ISO
LM1117DT-3.3/NOPB (voltage regulator),926-LM1117DT-3.3NOPB,1,https://eu.mouser.com/ProductDetail/926-LM1117DT-3.3NOPB
830003156B - Oscillator,710-830003156B,1,https://eu.mouser.com/ProductDetail/710-830003156B
HDR100IMP40M-G-V-TH (male header),910-HDR100IMP40MGVTH,1,https://eu.mouser.com/ProductDetail/910-HDR100IMP40MGVTH
293D106X9010C2TE3 (10 uF tantalum capacitor),74-293D106X9010C2TE3,2,https://eu.mouser.com/ProductDetail/74-293D106X9010C2TE3
C2012X5R1C106K085AC (10uF capacitor),810-C2012X5R1C106K-2,6,https://eu.mouser.com/ProductDetail/810-C2012X5R1C106K-2
08055A500FAT2A (50pF capacitor),581-08055A500FAT2A ,2,https://eu.mouser.com/ProductDetail/581-08055A500FAT2A
KAM21BR71H104JT (0.1uF capacitor),581-KAM21BR71H104JT,8,https://eu.mouser.com/ProductDetail/581-KAM21BR71H104JT
ERJ-S06F1002V (10k resistor),667-ERJ-S06F1002V,4,https://eu.mouser.com/ProductDetail/667-ERJ-S06F1002V
ERJ-P06D3300V (330 resistor),667-ERJ-P06D3300V,1,https://eu.mouser.com/ProductDetail/667-ERJ-P06D3300V
SLW-1276864-4A-D (switch),179-SLW-1276864-4A-D,1,https://eu.mouser.com/ProductDetail/179-SLW-1276864-4A-D
