Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","CAPC2012X94N",160.480000,-112.820000,0.000000,top
"C2","10u","CAPPM6032X280N",126.910000,-117.269997,0.000000,top
"C3","10u","CAPPM6032X280N",135.809995,-112.240000,-90.000000,top
"C4","50p","CAPC2012X140N",137.160000,-90.100000,90.000000,top
"C5","50p","CAPC2012X140N",138.935000,-93.505000,-90.000000,top
"C6","0.1u","CAPC2012X94N",116.840000,-88.000000,90.000000,top
"C7","0.1u","CAPC2012X94N",127.000000,-121.020000,180.000000,top
"C8","0.1u","CAPC2012X94N",139.700000,-112.590000,90.000000,top
"C9","0.1u","CAPC2012X94N",141.681200,-95.518400,180.000000,top
"C10","0.1u","CAPC2012X94N",147.780000,-104.510000,180.000000,top
"C11","0.1u","CAPC2012X94N",161.740850,-85.460000,180.000000,top
"C12","10u","CAP_2012_TDK",152.860000,-104.510000,0.000000,top
"C13","10u","CAP_2012_TDK",161.740850,-82.920000,0.000000,top
"C14","10u","CAP_2012_TDK",141.420850,-98.160000,0.000000,top
"C15","10u","CAP_2012_TDK",161.740850,-95.620000,0.000000,top
"C16","0.1u","CAPC2012X94N",174.450000,-107.050000,180.000000,top
"J1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",175.245000,-80.380000,-90.000000,top
"J2","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",151.130000,-109.590000,-90.000000,top
"J3","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",175.260000,-86.730000,-90.000000,top
"J4","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",114.300000,-91.810000,0.000000,top
"J5","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",164.338000,-99.684000,90.000000,top
"J6","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",174.809150,-94.350000,-90.000000,top
"J7","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",148.590000,-79.110000,90.000000,top
"J8","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",114.300000,-112.130000,180.000000,top
"MCU","PIC24FJ64GA702-I/SO","SOIC28__SO28_MCH",151.130000,-92.738700,0.000000,top
"Oscillator","830003156B","830003156B",132.080000,-95.520000,90.000000,top
"R1","10k","RESC2012X70N",165.420000,-112.820000,180.000000,top
"R2","10k","RESC2012X70N",120.650000,-95.620000,90.000000,top
"R3","10k","RESC2012X70N",120.650000,-100.700000,-90.000000,top
"R4","10k","RESC2012X70N",114.300000,-84.190000,90.000000,top
"R5","330","ERJP06D1000V",115.475000,-79.110000,0.000000,top
"SW1","SW_SPDT","SLW12768644AD",123.190000,-79.110000,-90.000000,top
"U2","ESP8266-01_ESP-01","wifi",165.100000,-128.060000,180.000000,top
"U3","LM1117DT-3.3/NOPB","NDP0003B",126.129999,-110.860000,0.000000,top
